"No.","Time","Source","Destination","Protocol","Length","Info"
"4329","176.511572","172.16.2.38","212.191.4.179","HTTP","136","GET /files/config.xml HTTP/1.1 "
"4330","176.514168","212.191.4.179","172.16.2.38","HTTP","1285","HTTP/1.1 200 OK "
"4332","176.522517","172.16.2.38","212.191.4.179","HTTP","122","GET /files/updater/checksum.xml HTTP/1.1 "
"4333","176.524685","212.191.4.179","172.16.2.38","HTTP","1470","HTTP/1.1 200 OK "
"11520","452.320904","172.16.2.38","91.228.167.21","HTTP","620","GET /pico/1/255190.pic HTTP/1.1 "
"11522","452.343659","91.228.167.21","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"11533","452.373532","172.16.2.38","91.228.167.21","HTTP","619","GET /pico/3/26577.pic HTTP/1.1 "
"11560","452.419660","91.228.167.21","172.16.2.38","HTTP","643","HTTP/1.1 200 OK "
"11562","452.421627","172.16.2.38","91.228.167.21","HTTP","619","GET /pico/3/26578.pic HTTP/1.1 "
"11563","452.445753","91.228.167.21","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"13466","556.859845","172.16.2.38","199.232.214.172","HTTP","336","GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?5146483152fe3dfb HTTP/1.1 "
"13468","556.876210","199.232.214.172","172.16.2.38","HTTP","257","HTTP/1.1 304 Not Modified "
"21307","1052.328872","172.16.2.38","91.228.167.26","HTTP","620","GET /pico/1/255190.pic HTTP/1.1 "
"21309","1052.351515","91.228.167.26","172.16.2.38","HTTP","549","HTTP/1.1 200 OK "
"21310","1052.354377","172.16.2.38","91.228.167.26","HTTP","620","GET /pico/1/255191.pic HTTP/1.1 "
"21311","1052.376998","91.228.167.26","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"21319","1052.409027","172.16.2.38","91.228.167.26","HTTP","619","GET /pico/3/26578.pic HTTP/1.1 "
"21321","1052.431610","91.228.167.26","172.16.2.38","HTTP","1377","HTTP/1.1 200 OK "
"21322","1052.434436","172.16.2.38","91.228.167.26","HTTP","619","GET /pico/3/26579.pic HTTP/1.1 "
"21323","1052.457620","91.228.167.26","172.16.2.38","HTTP","348","HTTP/1.1 404 Not Found  (text/html)"
"32058","1136.566868","172.16.2.38","212.191.4.179","HTTP","136","GET /files/config.xml HTTP/1.1 "
"32059","1136.570383","212.191.4.179","172.16.2.38","HTTP","1285","HTTP/1.1 200 OK "
"32060","1136.578285","172.16.2.38","212.191.4.179","HTTP","122","GET /files/updater/checksum.xml HTTP/1.1 "
"32061","1136.579731","212.191.4.179","172.16.2.38","HTTP","1470","HTTP/1.1 200 OK "
"46062","1577.369890","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEA1SR83rGuTXgtsDLNoJ9PA%3D HTTP/1.1 "
"46066","1577.409524","104.81.99.218","172.16.2.38","OCSP","780","Response"
"46241","1577.804487","172.16.2.38","104.18.20.213","HTTP","176","GET /77.crl HTTP/1.1 "
"46244","1577.806888","172.16.2.38","104.18.20.213","HTTP","176","GET /77.crl HTTP/1.1 "
"46387","1577.824068","104.18.20.213","172.16.2.38","PKIX-CRL","796","Certificate Revocation List"
"46530","1577.827095","104.18.20.213","172.16.2.38","PKIX-CRL","796","Certificate Revocation List"
"47856","1578.237491","172.16.2.38","172.64.149.23","HTTP","287","GET /MFIwUDBOMEwwSjAJBgUrDgMCGgUABBS3DhJWomGbOJFU%2Fpy58BaOB6aMCwQUF5moBMFv5C1wqAoQPQPT6Rq4JmMCEQDrqbvkBH%2BdHOEdbInBoZqi HTTP/1.1 "
"47871","1578.251352","172.16.2.38","104.18.20.213","HTTP","176","GET /96.crl HTTP/1.1 "
"47899","1578.259536","172.16.2.38","104.81.99.218","HTTP","292","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBS6FKmrgWTGr7Q8nSk4Oub50ler6QQUlE%2FUXYvkpOKmgP792PkA76O%2BAlcCEAIZBGojbITFubqff7K5ndY%3D HTTP/1.1 "
"47904","1578.263218","172.64.149.23","172.16.2.38","OCSP","1133","Response"
